Epoch,Train Loss,Token Accuracy
1,178.8966,0.112
2,82.2245,0.126
3,36.3215,0.149
4,37.9326,0.16
5,27.4437,0.218
6,13.6157,0.274
7,13.7915,0.292
8,11.3591,0.334
9,15.2961,0.271
10,12.2575,0.32
11,6.4307,0.379
12,7.0687,0.37
13,6.8215,0.367
14,6.6292,0.363
15,10.1766,0.326
16,7.5839,0.358
17,6.3988,0.373
18,5.4866,0.381
19,4.604,0.387
20,4.3205,0.388
21,4.006,0.389
22,3.7479,0.39
23,3.3953,0.39
24,3.1121,0.391
25,3.5616,0.386
26,3.3909,0.387
27,3.1126,0.39
28,3.0954,0.391
29,3.002,0.391
30,3.2794,0.388
31,2.8506,0.391
32,2.8585,0.391
33,2.7979,0.391
34,2.7823,0.39
35,2.872,0.39
36,2.6646,0.391
37,2.481,0.392
38,2.5701,0.391
39,2.5845,0.391
40,2.3729,0.391
41,2.3071,0.392
42,2.4663,0.392
43,2.3738,0.392
44,2.7443,0.39
45,2.5234,0.392
46,2.499,0.392
47,2.3811,0.393
48,2.2882,0.393
49,2.146,0.393
50,2.0445,0.395
51,2.265,0.393
52,2.1173,0.394
53,2.0546,0.395
54,1.9987,0.395
55,1.9962,0.395
56,2.0343,0.395
57,2.0739,0.394
58,2.1089,0.395
59,2.0583,0.395
60,2.0818,0.393
61,2.161,0.394
62,2.1428,0.394
63,2.0194,0.395
64,1.9834,0.396
65,1.973,0.397
66,1.9598,0.397
67,1.9919,0.395
68,1.9324,0.396
69,1.9139,0.397
70,1.9374,0.397
71,1.961,0.397
72,1.9151,0.398
73,1.8849,0.397
74,1.8602,0.399
75,1.8581,0.398
76,1.895,0.398
77,1.8553,0.399
78,1.8241,0.399
79,1.8414,0.399
80,1.8587,0.399
81,1.8232,0.399
82,1.8001,0.398
83,1.7945,0.399
84,1.8816,0.398
85,1.9472,0.397
86,1.9183,0.398
87,1.8907,0.398
88,1.8403,0.399
89,1.7828,0.4
90,1.782,0.399
91,1.7814,0.401
92,1.8188,0.4
93,1.8235,0.4
94,1.7905,0.402
95,1.778,0.4
96,1.7348,0.401
97,1.7206,0.402
98,1.6995,0.402
99,1.7374,0.402
100,1.72,0.402
101,1.6861,0.404
102,1.6574,0.405
103,1.6447,0.405
104,1.6218,0.407
105,1.6261,0.407
106,1.633,0.407
107,1.6153,0.408
108,1.6178,0.409
109,1.6059,0.409
110,1.605,0.41
111,1.6278,0.408
112,1.6419,0.407
113,1.6322,0.409
114,1.6107,0.41
115,1.6005,0.411
116,1.5977,0.411
117,1.6041,0.412
118,1.5952,0.412
119,1.5892,0.412
120,1.5854,0.413
121,1.5766,0.415
122,1.587,0.413
123,1.5835,0.414
124,1.5822,0.415
125,1.5708,0.414
126,1.5637,0.416
127,1.568,0.416
128,1.5645,0.416
129,1.5727,0.416
130,1.6306,0.414
131,1.7528,0.408
132,1.6912,0.409
133,1.6107,0.412
134,1.5909,0.414
135,1.5809,0.415
136,1.5788,0.416
137,1.5653,0.417
138,1.5622,0.417
139,1.5623,0.417
140,1.5625,0.418
141,1.5484,0.42
142,1.5602,0.419
143,1.5466,0.421
144,1.5499,0.42
145,1.5521,0.42
146,1.5427,0.421
147,1.5307,0.424
148,1.5298,0.423
149,1.5302,0.424
150,1.5313,0.424
151,1.5235,0.426
152,1.5223,0.427
153,1.5211,0.427
154,1.5151,0.428
155,1.5145,0.428
156,1.5164,0.428
157,1.512,0.429
158,1.5104,0.429
159,1.5118,0.43
160,1.5067,0.431
161,1.5052,0.431
162,1.5029,0.432
163,1.5021,0.433
164,1.5052,0.432
165,1.5015,0.432
166,1.4961,0.434
167,1.4955,0.436
168,1.4938,0.436
169,1.4931,0.436
170,1.491,0.437
171,1.489,0.439
172,1.4941,0.437
173,1.4893,0.438
174,1.4873,0.438
175,1.4833,0.44
176,1.4887,0.44
177,1.4783,0.442
178,1.4808,0.442
179,1.4804,0.442
180,1.4757,0.443
181,1.4737,0.445
182,1.4766,0.443
183,1.4746,0.446
184,1.4737,0.445
185,1.4739,0.445
186,1.4703,0.446
187,1.4695,0.446
188,1.4718,0.446
189,1.4697,0.447
190,1.4655,0.449
191,1.4654,0.449
192,1.4635,0.45
193,1.4601,0.451
194,1.4626,0.45
195,1.4602,0.452
196,1.4622,0.451
197,1.4551,0.453
198,1.4542,0.454
199,1.4551,0.454
200,1.4561,0.454
201,1.457,0.454
202,1.461,0.452
203,1.4516,0.454
204,1.4549,0.455
205,1.4584,0.453
206,1.4542,0.455
207,1.4545,0.456
208,1.4524,0.456
209,1.4538,0.456
210,1.4519,0.455
211,1.4531,0.455
212,1.4524,0.456
213,1.4542,0.455
214,1.4538,0.455
215,1.4512,0.456
216,1.4542,0.456
217,1.4535,0.454
218,1.4512,0.455
219,1.4555,0.454
220,1.4508,0.456
221,1.4561,0.454
222,1.4553,0.454
223,1.454,0.454
224,1.4542,0.455
225,1.4543,0.454
226,1.4583,0.453
227,1.4566,0.454
228,1.4539,0.455
229,1.4553,0.454
230,1.4554,0.454
231,1.4536,0.455
232,1.4494,0.456
233,1.4504,0.456
234,1.4533,0.456
235,1.453,0.457
236,1.4492,0.457
237,1.4484,0.457
238,1.4514,0.457
239,1.4506,0.457
240,1.4513,0.457
241,1.4556,0.456
242,1.4523,0.457
243,1.4574,0.454
244,1.4546,0.455
245,1.4598,0.454
246,1.4581,0.454
247,1.456,0.454
248,1.4533,0.457
249,1.4586,0.453
250,1.4538,0.454
251,1.4565,0.455
252,1.4547,0.455
253,1.4535,0.455
254,1.4546,0.455
255,1.4547,0.454
256,1.458,0.454
257,1.4577,0.454
258,1.4571,0.453
259,1.4553,0.453
260,1.458,0.452
261,1.4585,0.453
262,1.4611,0.451
263,1.4607,0.452
264,1.4597,0.451
265,1.4657,0.449
266,1.4658,0.449
267,1.4669,0.448
268,1.4637,0.45
269,1.4685,0.448
270,1.4707,0.448
271,1.4708,0.447
272,1.4686,0.447
273,1.4712,0.446
274,1.4773,0.444
275,1.4787,0.443
276,1.4758,0.444
277,1.4791,0.443
278,1.4826,0.442
279,1.4834,0.443
280,1.4824,0.441
281,1.4759,0.444
